distance_miles,avg_fare
0.0,4.5
1.0,6.49
2.0,9.78
3.0,12.98
4.0,15.87
5.0,18.67
6.0,21.22
7.0,23.75
8.0,26.04
9.0,28.51
10.0,31.19
11.0,33.94
12.0,36.78
13.0,40.14
14.0,43.27
15.0,46.12
16.0,49.66
17.0,52.33
18.0,52.77
19.0,52.99
20.0,54.2
21.0,54.69
22.0,56.68
23.0,61.89
24.0,68.63
25.0,72.59
26.0,73.65
27.0,75.93
28.0,69.86
29.0,72.88
30.0,80.38
31.0,93.46
32.0,99.22
33.0,101.25
34.0,103.17
35.0,107.55
36.0,108.96
37.0,116.79
38.0,115.29
39.0,123.76
40.0,119.24
41.0,134.36
42.0,136.87
43.0,134.98
44.0,158.98
45.0,157.08
46.0,152.82
47.0,182.91
48.0,184.3
49.0,167.2
50.0,204.46
51.0,171.8
52.0,152.63
53.0,180.87
54.0,193.42
55.0,168.31
56.0,154.88
57.0,210.11
58.0,125.0
59.0,152.24
60.0,201.29
61.0,235.6
62.0,162.2
63.0,190.17
64.0,140.17
65.0,269.75
66.0,53.67
67.0,243.75
68.0,159.0
69.0,278.88
71.0,370.0
73.0,264.35
74.0,328.8
75.0,193.5
76.0,218.17
78.0,306.33
79.0,2.5
81.0,64.2
85.0,2.5
86.0,27.25
87.0,2.5
88.0,290.0
90.0,45.0
94.0,176.0
95.0,128.0
98.0,132.0
100.0,39.64
